ts,ifHCInOctets_rate,ifHCOutOctets_rate,ifInErrors_rate,ifOutErrors_rate,ifInDiscards_rate,ifOutDiscards_rate,ifHCInUcastPkts_rate,ifHCOutUcastPkts_rate,ifHCInOctets,ifHCOutOctets,ifInErrors,ifOutErrors,ifInDiscards,ifOutDiscards,ifHCInUcastPkts,ifHCOutUcastPkts
1749057271513668,0.009018437144404956,0.29603284200419244,0.0,0.0,3.9709336919262944e-7,0.0,0.0000954513186196783,0.00020546272744308635,875095202,2438562938,0,0,222030,0,3993004,1718426
1749057331595300,0.009063552068625566,0.29780296247611915,0.0,0.0,3.994565260810492e-7,0.0,0.00009585292223753176,0.0002064358038743022,875639755,2456455426,0,0,222054,0,3998763,1730829
1749057391705392,0.009324108171386595,0.2977264283674695,0.0,0.0,3.9926739756112834e-7,0.0,0.00009575763084841062,0.00020657096981318876,876200228,2474351789,0,0,222078,0,4004519,1743246
1749057452016154,0.009314274623159296,0.3001750168568588,0.0,0.0,3.9793892837898483e-7,0.0,0.00009658309407531611,0.0002078733477119722,876761979,2492455573,0,0,222102,0,4010344,1755783
1749057512130000,0.00895901752817479,0.29764771663420103,0.0,0.0,3.8260736137228683e-7,0.0,0.00009640041996314793,0.00020617546247165752,877300540,2510348322,0,0,222125,0,4016139,1768177
1749057572143058,0.009154924249985728,0.3016697132813995,0.0,0.0,3.9991296560825144e-7,0.0,0.00009741213320607659,0.00020862126372563785,877849955,2528452444,0,0,222149,0,4021985,1780697
1749057632247724,0.009405076803854131,0.3011856683472794,0.0,0.0,3.8266579835914904e-7,0.0,0.00009762969151180376,0.00020858613539255006,878415244,2546555108,0,0,222172,0,4027853,1793234
1749057692364582,0.009150411686518947,0.29758651059241986,0.0,0.0,3.992224610274875e-7,0.0,0.00009576348783896856,0.00020606532696702145,878965338,2564445074,0,0,222196,0,4033610,1805622
1749057752458604,0.009089406596882465,0.3012646249572046,0.0,0.0,3.9937416736726325e-7,0.0,0.00009636565846765923,0.00020872292422031595,879511557,2582549277,0,0,222220,0,4039401,1818165
1749057812566786,0.009005163390235292,0.29761326003837546,0.0,0.0,3.9928008469795345e-7,0.0,0.00009667569050749197,0.00020606179704453547,880052841,2600438269,0,0,222244,0,4045212,1830551
1749057872675131,0.009445543709446667,0.30122388164239094,0.0,0.0,3.992790019422428e-7,0.0,0.00009828918097811544,0.00020862327851482187,880620597,2618544338,0,0,222268,0,4051120,1843091
1749057932787582,0.00895925870665297,0.2976098578978255,0.0,0.0,3.992517290635845e-7,0.0,0.00009443966941224872,0.0002062135180613414,881159160,2636434396,0,0,222292,0,4056797,1855487
1749057992896767,0.009030333716885365,0.29768616892742766,0.0,0.0,3.992734221899698e-7,0.0,0.00009511025644416906,0.00020640772287962314,881701966,2654328069,0,0,222316,0,4062514,1867894
1749058053006595,0.009529007469460735,0.3154753994637948,0.0,0.0,4.1590536575815854e-7,0.0,0.00010183026975222753,0.00021821722730599064,882274753,2673291241,0,0,222341,0,4068635,1881011
1749058113116673,0.008926090563382732,0.2975701844872003,0.0,0.0,3.9926749055291526e-7,0.0,0.00009589074231445848,0.00020602202512530428,882811301,2691178208,0,0,222365,0,4074399,1893395
1749058173226917,0.00917868508402661,0.301151863565884,0.0,0.0,3.9926638793880126e-7,0.0,0.00009798662603998081,0.0002085002350015415,883363034,2709280520,0,0,222389,0,4080289,1905928
1749058233336964,0.009096798743145219,0.3011483754121836,0.0,0.0,3.9926769646345477e-7,0.0,0.00009677250793032985,0.0002082680121677496,883909843,2727382563,0,0,222413,0,4086106,1918447
1749058293447159,0.00936822780228878,0.3011476339412973,0.0,0.0,3.99266713408599e-7,0.0,0.00009668908909711572,0.0002083340438339952,884472969,2745484606,0,0,222437,0,4091918,1930970
1749058353460541,0.009358845998714086,0.2982441482801286,0.0,0.0,3.9991080655977697e-7,0.0,0.00009701169649129256,0.00020638730208539155,885034625,2763383246,0,0,222461,0,4097740,1943356
1749058413564822,0.009071017753294478,0.3013298337268189,0.0,0.0,3.993059995177382e-7,0.0,0.00009719773538260943,0.0002086540224979981,885579832,2781494459,0,0,222485,0,4103582,1955897
1749058473674933,0.009130976317777886,0.30113599357685433,0.0,0.0,3.992672713580582e-7,0.0,0.00009718830830307401,0.00020831769883106687,886128696,2799595777,0,0,222509,0,4109424,1968419
1749058533785370,0.009357958918182545,0.2976160529327045,0.0,0.0,3.992651059914936e-7,0.0,0.00009688833238726911,0.00020645333188976816,886691207,2817485608,0,0,222533,0,4115248,1980829
1749058593928464,0.0095216085823586,0.3010253679333491,0.0,0.0,3.990483096862293e-7,0.0,0.00009793310600216211,0.00020841960674653685,887263866,2835590205,0,0,222557,0,4121138,1993364
1749058653937918,0.009565476133143954,0.2984663549846662,0.0,0.0,3.9993698326267056e-7,0.0,0.00009701804652313617,0.0002064674676093537,887837885,2853501008,0,0,222581,0,4126960,2005754
1749058713950185,0.00943975337575566,0.3013475061690304,0.0,0.0,3.8325497685331565e-7,0.0,0.0000974467436799213,0.0002089072889047834,888404386,2871585555,0,0,222604,0,4132808,2018291
1749058774050784,0.009664762243051853,0.2976286309559078,0.0,0.0,3.993304625799154e-7,0.0,0.00009790251840917592,0.00020618762884542965,888985244,2889473214,0,0,222628,0,4138692,2030683
1749058834159237,0.009394019839439221,0.30117150078708566,0.0,0.0,3.992782845367855e-7,0.0,0.00009832227756718344,0.00020852308409933626,889549904,2907576167,0,0,222652,0,4144602,2043217
1749058894268797,0.009294511555233477,0.29765651254143266,0.0,0.0,3.8263464247617184e-7,0.0,0.00009667347423604498,0.0002061901634282467,890108593,2925468169,0,0,222675,0,4150413,2055611
